scientific_name,latitude,longitude,observed_on,provider
Polygonia gracilis,35.2503509521,-106.4094085693,2009-03-17,iNat
Vanessa cardui,37.9131393433,-121.9415817261,2009-03-29,iNat
Vanessa cardui,37.9133071899,-121.9382247925,2009-03-29,iNat
Celastrina echo,37.2376480103,-121.8643035889,2007-05-13,iNat
Colias eurytheme,37.7682646567,-119.9835038261,2010-05-01,iNat
Celastrina echo,37.8335800171,-122.5118942261,2010-04-25,iNat
Aglais milberti,46.7887772879,-121.7477416992,2010-08-10,iNat
Colias eurytheme,37.4213256836,-122.1746444702,2011-04-16,iNat
Celastrina echo,37.4215784398,-122.1775174141,2011-04-14,iNat
Celastrina echo,37.4215170907,-122.1767663956,2011-04-16,iNat
Boloria epithore,41.3081966,-122.9411452,2006-07-07,iNat
Ochlodes sylvanoides,38.002452,-122.484598,2008-08-30,iNat
Celastrina echo,40.3595937,-122.894741,2010-07-03,iNat
Celastrina echo,37.2357883,-121.8797421,2011-06-05,iNat
Celastrina echo,34.128787,-118.51995,2006-05-05,iNat
Celastrina echo,37.5481671737,-122.2090350726,2011-06-17,iNat
Celastrina echo,37.5969051994,-122.3390018402,2011-06-17,iNat
Celastrina echo,37.5786453442,-122.3222154701,2011-06-17,iNat
Vanessa cardui,38.5695757018,-122.6893043518,2011-07-25,iNat
Colias eurytheme,37.9419384144,-120.7098019123,2011-08-13,iNat
Aglais milberti,38.0413316426,-119.2977046967,2011-08-13,iNat
Ochlodes sylvanoides,34.128255,-118.522573,2011-09-11,iNat
Aglais milberti,39.063447,-120.202312,2011-09-11,iNat
Colias eurytheme,38.5660692825,-121.6195240617,2010-08-21,iNat
Lycaena mariposa,43.7657633741,-110.7450199127,2011-08-10,iNat
Speyeria cybele,43.8858772854,-110.6361222267,2011-08-13,iNat
Lycaena heteronea,43.7657633741,-110.743689537,2011-08-10,iNat
Vanessa cardui,38.6120082556,-122.7825593948,2011-09-26,iNat
Celastrina echo,37.9088902848,-121.9502806664,2010-03-06,iNat
Vanessa cardui,32.6072205224,-117.1298360825,2011-10-08,iNat
Ochlodes sylvanoides,32.7153292,-117.1572551,2011-10-23,iNat
Celastrina echo,37.3625647,-122.2341905,2006-03-23,iNat
Vanessa cardui,44.9058608093,-110.3996372223,2008-06-02,iNat
Colias eurytheme,40.767312663,-111.8244857011,2011-10-23,iNat
Colias eurytheme,37.8655025524,-120.2137631628,2010-07-17,iNat
Colias eurytheme,37.5630948753,-121.8957163082,2012-03-03,iNat
Celastrina echo,37.1614175191,-121.8434439529,2012-03-23,iNat
Vanessa cardui,32.726944,-116.944806,2012-03-25,iNat
Aglais milberti,40.7673320339,-111.8237444839,2012-03-30,iNat
Vanessa cardui,36.6027112645,-118.0701610085,2008-10-28,iNat
Vanessa cardui,39.8867147305,-105.0664621359,2011-09-18,iNat
Celastrina echo,37.8402635985,-122.1880252174,2012-04-14,iNat
Celastrina echo,37.1455852243,-122.3371610222,2012-04-21,iNat
Vanessa cardui,47.6812231,-122.2477698,2012-04-23,iNat
Colias eurytheme,38.611940631,-122.7820328357,2012-05-19,iNat
Colias eurytheme,38.5243476732,-122.7756917147,2012-05-20,iNat
Colias eurytheme,38.5854405292,-122.7027797699,2012-05-31,iNat
Celastrina echo,32.344944,-110.666742,2008-05-03,iNat
Celastrina echo,32.414076,-110.704297,2007-07-29,iNat
Celastrina echo,32.437794,-110.761394,2008-08-23,iNat
Aglais milberti,48.06448,-121.515968,2012-06-10,iNat
Vanessa cardui,34.1907298132,-118.9610839045,2012-07-01,iNat
Aglais milberti,40.6966174357,-110.8987060056,2012-07-01,iNat
Celastrina echo,34.1360733073,-118.3322129098,2012-02-03,iNat
Vanessa cardui,34.1359845039,-118.3321699945,2011-11-13,iNat
Lycaena heteronea,38.2178768679,-119.68325614929999,2012-07-20,iNat
Speyeria cybele,38.9349984511,-120.234313506,2012-08-04,iNat
Vanessa cardui,38.574214,-122.692212,2012-06-22,iNat
Colias eurytheme,43.783431,-102.369298,2012-05-03,iNat
Vanessa cardui,43.783431,-102.369298,2012-05-03,iNat
Vanessa cardui,44.031245,-103.815163,2012-05-04,iNat
Aglais milberti,43.5107446,-110.9193708,2012-05-13,iNat
Celastrina echo,45.3964402,-116.2135989,2012-05-17,iNat
Vanessa cardui,33.812761,-116.638868,2012-09-03,iNat
Polygonia gracilis,36.419333,-118.55725,2012-08-26,iNat
Vanessa cardui,37.3083579997,-122.1351629296,2012-06-06,iNat
Colias eurytheme,33.9765013152,-117.3309584831,2012-09-14,iNat
Vanessa cardui,34.120656654,-119.078137055,2012-09-14,iNat
Colias eurytheme,31.9004507955,-109.2267596925,2012-09-18,iNat
Libytheana carinenta,31.9484351685,-109.307907244,2012-09-18,iNat
Vanessa cardui,36.289808,-115.679855,2010-09-28,iNat
Vanessa cardui,36.9531946897,-122.0597668746,2012-09-20,iNat
Vanessa cardui,37.4668551,-122.2852374,2012-09-26,iNat
Colias eurytheme,34.7265492297,-119.9192457009,2009-04-19,iNat
Vanessa cardui,34.717294,-119.924643,2009-05-10,iNat
Vanessa cardui,37.564002,-122.485209,2012-09-30,iNat
Ochlodes sylvanoides,34.7392509068,-120.0593166081,2008-09-26,iNat
Vanessa cardui,34.7172586216,-119.924684102,2009-05-10,iNat
Ochlodes sylvanoides,37.1723459,-122.2219992,2012-09-22,iNat
Ochlodes sylvanoides,37.1723459,-122.2219992,2012-09-22,iNat
Ochlodes sylvanoides,37.1507063236,-121.7867060445,2012-09-06,iNat
Celastrina echo,34.699508277,-119.9160431433,2009-04-25,iNat
Colias eurytheme,37.550241931,-122.0817784814,2012-10-18,iNat
Vanessa cardui,33.696743,-118.044556,2012-10-21,iNat
Colias eurytheme,37.5750586583,-122.3024656772,2012-10-28,iNat
Vanessa cardui,33.696743,-118.044556,2012-10-21,iNat
Vanessa cardui,33.982548,-116.15506,2012-10-26,iNat
Vanessa cardui,33.9432531401,-117.6470088959,2012-10-28,iNat
Vanessa cardui,38.4002864005,-121.2223891007,2012-10-30,iNat
Ochlodes sylvanoides,37.381343,-121.738171,2012-08-08,iNat
Eurema mexicana,31.5397640171,-110.7548260689,2008-08-06,iNat
Libytheana carinenta,31.5292753,-110.2565575,2008-08-10,iNat
Vanessa cardui,38.6136087667,-122.7821644228,2012-11-07,iNat
Vanessa cardui,34.953722,-112.931194,2012-11-06,iNat
Colias eurytheme,37.154707,-120.816296,2012-11-22,iNat
Vanessa cardui,33.348139,-116.200306,2012-11-23,iNat
Vanessa cardui,34.1909390226,-118.1768251528,2012-11-15,iNat
Vanessa cardui,35.2393977958,-119.9080682066,2012-12-08,iNat
Vanessa cardui,32.8285013,-117.1687101,2012-12-15,iNat
Colias eurytheme,34.4215669139,-119.7972393036,2005-08-14,iNat
Ochlodes sylvanoides,34.419072,-119.799142,2007-07-29,iNat
Vanessa cardui,34.508139,-119.770616,2012-07-04,iNat
Vanessa cardui,36.4588984833,-116.8662714958,2013-01-02,iNat
Colias eurytheme,33.1481402,-115.6496322,2007-10-07,iNat
Vanessa cardui,35.1289,-117.9454722,2012-11-22,iNat
Vanessa cardui,34.10053,-118.01333,2012-11-14,iNat
Speyeria cybele,42.558581,-108.712935,2008-08-18,iNat
Lycaena mariposa,44.2380774599,-118.7776076958,2008-07-30,iNat
Colias eurytheme,32.8791243,-109.514904,2008-05-19,iNat
Ochlodes sylvanoides,46.3622933,-119.4471222,2008-08-16,iNat
Vanessa cardui,37.8677354446,-122.2383136148,2013-02-20,iNat
Colias eurytheme,43.61999,-103.469644,2010-07-18,iNat
Celastrina echo,37.1477978279,-121.7771816254,2013-02-26,iNat
Vanessa cardui,37.5101348,-121.8284198,2013-03-03,iNat
Vanessa cardui,34.2928057443,-119.2465568592,2013-03-02,iNat
Vanessa cardui,37.750787,-122.448409,2013-03-12,iNat
Vanessa cardui,36.4036934826,-120.4209188677,2013-03-10,iNat
Aglais milberti,39.2377097266,-119.7627729177,1986-02-25,iNat
Vanessa cardui,39.4231551652,-122.1797310922,1986-04-01,iNat
Vanessa cardui,40.4265442862,-121.3412730133,1991-07-27,iNat
Colias eurytheme,37.714284,-122.377926,2013-03-17,iNat
Celastrina echo,39.002445,-120.73056,2013-03-17,iNat
Celastrina echo,39.027821,-120.785881,2013-03-17,iNat
Celastrina echo,36.993125,-121.921918,2013-03-20,iNat
Vanessa cardui,33.257811,-116.4061224,2008-03-29,iNat
Celastrina echo,37.763418,-122.439174,2013-03-21,iNat
Boloria epithore,47.445823,-120.937478,2008-07-19,iNat
Celastrina echo,48.7359051,-122.3314686,2012-05-25,iNat
