id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
6873549,2017-07-01,45.679805833,-111.0331006442,Gallatin,Montana,United States,Glaucopsyche lygdamus,Silvery Blue,Lycaenidae,Glaucopsyche,Glaucopsyche lygdamus,
6926173,2017-07-04,45.5918272897,-111.0258032703,Gallatin,Montana,United States,Limenitis weidemeyerii,Weidemeyer's Admiral,Nymphalidae,Limenitis,Limenitis weidemeyerii,
6985915,2017-07-09,45.6128617935,-111.0204717145,Gallatin,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola,
6986119,2017-07-09,45.6128111467,-111.0176311782,Gallatin,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola,
6986249,2017-07-09,45.6134833543,-111.0024029423,Gallatin,Montana,United States,Pieris rapae,Cabbage White,Pieridae,Pieris,Pieris rapae,
7030279,2017-07-12,45.62392172,-111.1285545287,Gallatin,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola,
7030360,2017-06-22,45.6240275275,-111.128910494,Gallatin,Montana,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus,
7040155,2017-07-13,45.6734041599,-111.0298111071,Gallatin,Montana,United States,Pieris rapae,Cabbage White,Pieridae,Pieris,Pieris rapae,
7077812,2017-07-16,45.498073767,-110.9878682905,Gallatin,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii,
7077829,2017-07-16,45.4974576552,-110.9880276305,Gallatin,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii,
7077843,2017-07-16,45.4974802444,-110.9880761617,Gallatin,Montana,United States,Euphydryas anicia,Anicia Checkerspot,Nymphalidae,Euphydryas,Euphydryas anicia,
7077846,2017-07-16,45.4983377969,-110.9872728401,Gallatin,Montana,United States,Icaricia saepiolus,Greenish Blue,Lycaenidae,Icaricia,Icaricia saepiolus,
7077847,2017-07-16,45.4981459771,-110.9877696355,Gallatin,Montana,United States,Papilio zelicaon,Anise Swallowtail,Papilionidae,Papilio,Papilio zelicaon,
7078233,2017-07-16,45.49889833,-110.98637606,Gallatin,Montana,United States,Colias eurytheme,Orange Sulphur,Pieridae,Colias,Colias eurytheme,
7078837,2017-07-16,45.4982414246,-110.9876708984,Gallatin,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii,
7078883,2017-07-16,45.4981822288,-110.9879126308,Gallatin,Montana,United States,Icaricia saepiolus,Greenish Blue,Lycaenidae,Icaricia,Icaricia saepiolus,
7078891,2017-07-16,45.4977093637,-110.9881564603,Gallatin,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii,
7078894,2017-07-16,45.497481837,-110.9881983698,Gallatin,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii,
7079419,2017-07-16,45.4988979,-110.98710241,Gallatin,Montana,United States,Colias eurytheme,Orange Sulphur,Pieridae,Colias,Colias eurytheme,
7080563,2017-07-16,45.4982528608,-110.987309098,Gallatin,Montana,United States,Phyciodes pulchella,Field Crescent,Nymphalidae,Phyciodes,Phyciodes pulchella,
7080574,2017-07-16,45.4980398154,-110.9877543046,Gallatin,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii,
7080586,2017-07-16,45.4979745971,-110.9877281269,Gallatin,Montana,United States,Icaricia saepiolus,Greenish Blue,Lycaenidae,Icaricia,Icaricia saepiolus,
7080594,2017-07-16,45.498247601,-110.9872755046,Gallatin,Montana,United States,Phyciodes pulchella,Field Crescent,Nymphalidae,Phyciodes,Phyciodes pulchella,
7080629,2017-07-16,45.4988056777,-110.9875380099,Gallatin,Montana,United States,Phyciodes pulchella,Field Crescent,Nymphalidae,Phyciodes,Phyciodes pulchella,
7080631,2017-07-16,45.4988151783,-110.9876115074,Gallatin,Montana,United States,Phyciodes mylitta,Mylitta Crescent,Nymphalidae,Phyciodes,Phyciodes mylitta,
7080636,2017-07-16,45.498691488,-110.987748639,Gallatin,Montana,United States,Lycaena mariposa,Mariposa Copper,Lycaenidae,Lycaena,Lycaena mariposa,
7125873,2017-07-19,45.5837526173,-111.0222839658,Gallatin,Montana,United States,Chlosyne palla,Northern Checkerspot,Nymphalidae,Chlosyne,Chlosyne palla,
7125890,2017-07-19,45.5830486252,-111.021990954,Gallatin,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola,
7161989,2017-07-22,47.5269866652,-122.1226242417,King,Washington,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus,
7164369,2017-07-22,47.5270422176,-122.1225981788,King,Washington,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus,
7164384,2017-07-22,47.5271160203,-122.122465158,King,Washington,United States,Celastrina echo,Echo Azure,Lycaenidae,Celastrina,Celastrina echo,
7169102,2017-07-22,47.5271307724,-122.1225446184,King,Washington,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus,
7169123,2017-07-22,47.5270205923,-122.1224462149,King,Washington,United States,Limenitis lorquini,Lorquin's Admiral,Nymphalidae,Limenitis,Limenitis lorquini,
7179534,2017-07-23,45.3906324786,-110.9506831505,Gallatin,Montana,United States,Vanessa atalanta,Red Admiral,Nymphalidae,Vanessa,Vanessa atalanta,
7179542,2017-07-23,45.3906403156,-110.9502527398,Gallatin,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola,
7179545,2017-07-23,45.3906403156,-110.9502527398,Gallatin,Montana,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti,
7179565,2017-07-23,45.3906403156,-110.9502527398,Gallatin,Montana,United States,Colias eurytheme,Orange Sulphur,Pieridae,Colias,Colias eurytheme,
7180254,2017-07-23,45.3906403156,-110.9502527398,Gallatin,Montana,United States,Pieris marginalis,Margined White,Pieridae,Pieris,Pieris marginalis,
7180257,2017-07-23,45.3906579595,-110.9509376251,Gallatin,Montana,United States,Glaucopsyche lygdamus,Silvery Blue,Lycaenidae,Glaucopsyche,Glaucopsyche lygdamus,
